TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-07-21 09:33:22.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C549
2023-07-21 09:33:22.330,1.6701049,0.6430723,0.6438296,1.4550569,1.1139652,-0.23737514,0.20590869,1.2152568,0.872909,-0.05561784,-0.3060761,0.9932551,0.61127293,0.13715433,0.2329978,0.51881677,0.46393412,-0.17656992,0.2726473,0.22807921,1089.9268,709.15753,783.69965,956.1539,828.8278,0.31829833984375,0.1783447265625,0.93341064453125,3.730926513671875,-3.641204833984375,0.082244873046875,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:22.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:23.338,0.6905073,0.6430723,0.6438296,0.8935338,0.7183205,-0.23737514,0.20590869,0.7630967,0.77974945,-0.05561784,-0.3060761,0.92141765,0.48931023,0.13715433,0.2329978,0.61232686,0.34579837,-0.17656992,0.2726473,0.0786019,1024.249,802.23444,796.99634,883.6264,969.45056,0.3172607421875,0.17254638671875,0.91864013671875,5.09918212890625,-4.224395751953125,-1.383209228515625,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:24.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:24.339,0.33742318,0.4493043,0.49554524,0.56970125,0.8238053,0.023268422,0.6185633,0.84298545,0.14679123,0.20072004,0.46313474,0.7356583,0.32739913,0.041231707,0.34360203,0.5189234,0.2574982,-0.31157613,0.23145004,0.10325517,853.8095,809.0842,809.4872,817.5458,783.2967,0.324951171875,0.181640625,0.92681884765625,5.38330078125,-3.775787353515625,-0.037384033203125,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:25.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:25.340,0.5392172,0.5375545,0.43175587,0.6350446,0.5138702,0.056795426,0.6145772,0.60316384,0.746926,0.21805988,0.52581936,0.74099666,0.61879474,0.08884898,0.49537513,0.60285133,0.2513172,-0.22643843,0.14838775,0.045162298,558.86444,803.8461,778.86444,730.9158,886.4469,0.3214111328125,0.18218994140625,0.93890380859375,5.8319091796875,-6.6094970703125,0.949554443359375,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:26.360,0.8535812,0.66915995,0.5414153,1.0632377,0.5391248,0.2181127,0.3979472,0.6050433,0.6964422,0.23640297,0.4525289,0.8679107,0.51935464,0.24126452,0.46335837,0.5722198,0.26660523,-0.14935002,0.07410304,0.036289513,1079.4506,806.6667,817.5458,949.707,822.7839,0.322998046875,0.18475341796875,0.9237060546875,5.4730224609375,-4.403839111328125,1.233673095703125,1,1.0,1.0,1.0,1.0,100.00
2023-07-21 09:33:26.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-07-21 09:33:27.406,0.9436922,0.49310124,-0.17918243,1.1560417,0.63665426,0.14214766,-0.040642906,0.58956945,0.86419374,0.28610122,0.27484307,0.9390377,0.49804986,0.1403914,0.5432081,0.5267052,0.31988293,-0.19864152,0.19876352,0.04200953,592.3077,803.44324,808.68134,734.94507,746.63007,0.326904296875,0.1820068359375,0.93487548828125,5.151519775390625,-4.807586669921875,-0.418701171875,1,1.0,1.0,1.0,1.0,100.00
